state,year,visitor_num_thousands,percentage_total
Johor,2016,12207,6.45
Kedah,2016,13188,6.97
Kelantan,2016,8646,4.57
Melaka,2016,12268,6.48
Negeri Sembilan,2016,10130,5.35
Pahang,2016,14168,7.49
Pulau Pinang,2016,12565,6.64
Perak,2016,16783,8.87
Perlis,2016,1410,0.75
Selangor,2016,24124,12.75
Terengganu,2016,12010,6.35
Sabah,2016,16518,8.73
Sarawak,2016,16282,8.60
W.P. Kuala Lumpur,2016,16784,8.87
W.P. Labuan,2016,354,0.19
W.P. Putrajaya,2016,1816,0.96
Johor,2017,13141,6.45
Kedah,2017,13305,6.97
Kelantan,2017,9624,4.57
Melaka,2017,12625,6.48
Negeri Sembilan,2017,10822,5.35
Pahang,2017,16491,7.49
Pulau Pinang,2017,12643,6.64
Perak,2017,20110,8.87
Perlis,2017,1414,0.75
Selangor,2017,25491,12.75
Terengganu,2017,12979,6.35
Sabah,2017,17792,8.73
Sarawak,2017,17670,8.60
W.P. Kuala Lumpur,2017,19049,8.87
W.P. Labuan,2017,381,0.19
W.P. Putrajaya,2017,1872,0.96
Johor,2018,13487,6.45
Kedah,2018,14480,6.97
Kelantan,2018,9846,4.57
Melaka,2018,13123,6.48
Negeri Sembilan,2018,12802,5.35
Pahang,2018,18111,7.49
Pulau Pinang,2018,14450,6.64
Perak,2018,17553,8.87
Perlis,2018,2156,0.75
Selangor,2018,30179,12.75
Terengganu,2018,13742,6.35
Sabah,2018,20360,8.73
Sarawak,2018,19380,8.60
W.P. Kuala Lumpur,2018,19165,8.87
W.P. Labuan,2018,545,0.19
W.P. Putrajaya,2018,1892,0.96
Johor,2019,14274,6.45
Kedah,2019,14831,6.97
Kelantan,2019,10986,4.57
Melaka,2019,13979,6.48
Negeri Sembilan,2019,13303,5.35
Pahang,2019,18498,7.49
Pulau Pinang,2019,15411,6.64
Perak,2019,21070,8.87
Perlis,2019,2088,0.75
Selangor,2019,33589,12.75
Terengganu,2019,14158,6.35
Sabah,2019,22035,8.73
Sarawak,2019,19793,8.60
W.P. Kuala Lumpur,2019,22633,8.87
W.P. Labuan,2019,524,0.19
W.P. Putrajaya,2019,1949,0.96
Johor,2020,7243,6.45
Kedah,2020,10108,6.97
Kelantan,2020,6058,4.57
Melaka,2020,7275,6.48
Negeri Sembilan,2020,7918,5.35
Pahang,2020,9905,7.49
Pulau Pinang,2020,8929,6.64
Perak,2020,13173,8.87
Perlis,2020,1193,0.75
Selangor,2020,19715,12.75
Terengganu,2020,7420,6.35
Sabah,2020,10337,8.73
Sarawak,2020,9393,8.60
W.P. Kuala Lumpur,2020,12435,8.87
W.P. Labuan,2020,107,0.19
W.P. Putrajaya,2020,451,0.96
Johor,2021,3658,6.45
Kedah,2021,4023,6.97
Kelantan,2021,1921,4.57
Melaka,2021,3878,6.48
Negeri Sembilan,2021,5485,5.35
Pahang,2021,3405,7.49
Pulau Pinang,2021,5061,6.64
Perak,2021,4489,8.87
Perlis,2021,407,0.75
Selangor,2021,10212,12.75
Terengganu,2021,3719,6.35
Sabah,2021,3815,8.73
Sarawak,2021,6511,8.60
W.P. Kuala Lumpur,2021,9116,8.87
W.P. Labuan,2021,54,0.19
W.P. Putrajaya,2021,223,0.96
Johor,2022,12376,6.45
Kedah,2022,11186,6.97
Kelantan,2022,6627,4.57
Melaka,2022,11757,6.48
Negeri Sembilan,2022,11490,5.35
Pahang,2022,13189,7.49
Pulau Pinang,2022,10003,6.64
Perak,2022,14567,8.87
Perlis,2022,1669,0.75
Selangor,2022,21990,12.75
Terengganu,2022,10233,6.35
Sabah,2022,12589,8.73
Sarawak,2022,15465,8.60
W.P. Kuala Lumpur,2022,16913,8.87
W.P. Labuan,2022,244,0.19
W.P. Putrajaya,2022,1306,0.96
Johor,2023,15805,6.45
Kedah,2023,13444,6.97
Kelantan,2023,7549,4.57
Melaka,2023,15559,6.48
Negeri Sembilan,2023,14959,5.35
Pahang,2023,16456,7.49
Pulau Pinang,2023,13128,6.64
Perak,2023,17108,8.87
Perlis,2023,1951,0.75
Selangor,2023,27579,12.75
Terengganu,2023,11761,6.35
Sabah,2023,16080,8.73
Sarawak,2023,17901,8.60
W.P. Kuala Lumpur,2023,22233,8.87
W.P. Labuan,2023,331,0.19
W.P. Putrajaya,2023,1900,0.96
